Date,PositiveReturn,PredictedValue,PredictedMinusActual,EquityPriceLevel,EquityPriceReturns,BAMLH0A0HYM2,BAMLC0A0CM,BAMLC0A4CBBB,BAMLH0A1HYBB,BAMLH0A3HYC,Equity_Position,Strategy_Cum_Rtn,Equity_Cum_Rtn
2019-08-02,0,1,1,281.7797546,-0.007529392,-0.03125,-0.015384615,-0.018072289,-0.047808765,-0.006349206,-0.007529392,1.071162402957906,1.1404885723985285
2019-08-05,0,0,0,273.3057861,-0.030073021,-0.019851117,-0.0234375,-0.018404908,-0.037656904,-0.005324814,-0.0,1.071162402957906,1.1061906356105276
2019-08-06,1,1,0,277.1382751,0.014022714,0.012658228,-0.016,-0.0125,0.013043478,0.009635974,0.014022714,1.0861830069821377,1.1217024305231722
2019-08-07,1,1,0,277.302063,0.000590997,0.0225,0.008130081,0.006329114,0.034334764,0.011664899,0.000590997,1.086824937880715,1.1223653532945042
2019-08-08,1,1,0,282.7426758,0.019619806,-0.009779951,-0.008064516,-0.006289308,-0.008298755,0.001048218,0.019619806,1.1081482323178966,1.1443859437872637
2019-08-09,0,0,0,280.816803,-0.006811398,0.009876543,0.0,-0.006329114,0.012552301,-0.005235602,-0.0,1.1081482323178966,1.136591075658523
2019-08-12,0,1,1,277.3983459,-0.012173264,-0.004889976,-0.008130081,-0.006369427,-0.012396694,0.0,-0.012173264,1.0946584513347575,1.1227550524344878
2019-08-13,1,0,-1,281.7123413,0.015551626,-0.01965602,-0.008196721,-0.006410256,-0.016736402,0.041052632,0.0,1.0946584513347575,1.1402157190995592
2019-08-14,0,1,1,273.3828125,-0.029567497,0.012531328,-0.008264463,0.0,0.021276596,0.011122346,-0.029567497,1.0622921408588923,1.1065023942457302
2019-08-15,1,1,0,274.1049805,0.0026416,-0.004950495,0.0,-0.006451613,-0.004166667,-0.002,0.0026416,1.0650982917781853,1.1094253309703697
2019-08-16,1,1,0,278.1494141,0.014755053,-0.009950249,-0.008333333,-0.006493506,-0.016736402,-0.009018036,0.014755053,1.080813873523582,1.1257949605283801
2019-08-19,1,1,0,281.5005188,0.012047858,0.005025126,0.0,0.0,0.004255319,0.007077856,0.012047858,1.093835365596224,1.1393583783499417
2019-08-20,0,0,0,279.3434753,-0.007662663,0.0075,0.008403361,0.006535948,0.008474576,0.004016064,-0.0,1.093835365596224,1.1306278590604197
2019-08-21,1,0,-1,281.6160583,0.008135443,-0.004962779,0.0,0.0,-0.004201681,-0.002,0.0,1.093835365596224,1.1398260175620178
2019-08-22,0,1,1,281.5293579,-0.000307867,-0.002493766,-0.008333333,-0.012987013,-0.008438819,0.002004008,-0.000307867,1.093498609783724,1.139475102745469
2019-08-23,0,1,1,274.2976074,-0.025687376,0.005,-0.008403361,0.0,0.008510638,0.002,-0.025687376,1.0654094998387322,1.1102049773386076
2019-08-26,1,1,0,277.3309021,0.011058407,-0.004975124,0.0,0.0,0.0,-0.001996008,0.011058407,1.0771912317096153,1.1224820758314435
2019-08-27,0,0,0,276.2427368,-0.003923707,-0.01,0.0,-0.006578947,-0.012658228,-0.007,-0.0,1.0771912317096153,1.1180777850531292
2019-08-28,1,0,-1,278.1879578,0.007041709,0.012626263,0.0,0.006622517,0.017094017,0.010070493,0.0,1.0771912317096153,1.1259509634548377
2019-08-29,1,1,0,281.7411804,0.012772741,0.024937656,0.008474576,0.006578947,0.029411765,0.012961117,0.012772741,1.0909499163197132,1.1403324434897468
2019-08-30,0,1,1,281.6160583,-0.000444103,-0.00973236,-0.008403361,-0.006535948,-0.016326531,-0.00492126,-0.000444103,1.0904654221890258,1.1398260184305957
2019-09-03,0,1,1,279.9694214,-0.005847099,-0.002457002,-0.008474576,-0.006578947,0.0,-0.00098912,-0.005847099,1.0840893629094097,1.1331613428580563
2019-09-04,1,0,-1,283.1471558,0.011350291,-0.017241379,-0.008547009,-0.006622517,-0.024896266,-0.006930693,0.0,1.0840893629094097,1.146023053849446
2019-09-05,1,1,0,286.7871094,0.012855342,-0.002506266,0.0,-0.006666667,-0.008510638,0.001994018,0.012855342,1.0980257024281723,1.160755572146565
2019-09-06,1,0,-1,287.0085754,0.000772231,-0.012562814,-0.00862069,-0.006711409,-0.017167382,-0.004975124,0.0,1.0980257024281723,1.1616519435827992
2019-09-09,1,1,0,287.1530457,0.000503366,-0.010178117,-0.008695652,-0.013513514,-0.013100437,-0.004,0.000503366,1.0985784112339008,1.1622366796750327
2019-09-10,0,1,1,287.0856323,-0.000234765,0.010282776,-0.00877193,0.0,0.013274336,0.00502008,-0.000234765,1.0983205034731875,1.161963827180929
2019-09-11,1,1,0,289.1271057,0.007111026,0.010178117,0.008849558,0.006849315,0.013100437,0.008991009,0.007111026,1.1061306891297185,1.170226582167072
2019-09-12,1,0,-1,290.1286011,0.003463859,-0.010075567,0.0,0.0,0.00862069,-0.040594059,0.0,1.1061306891297185,1.1742800820457509
2019-09-13,0,1,1,289.9360046,-0.000663831,0.043256997,0.026315789,0.027210884,0.05982906,0.02373581,-0.000663831,1.1053964052882228,1.1735005585246063
2019-09-16,0,1,1,289.0404358,-0.00308885,0.02195122,0.017094017,0.013245033,0.024193548,0.014112903,-0.00308885,1.1019820016017483,1.1698757913244076
2019-09-17,1,0,-1,289.7723083,0.002532077,0.081145585,0.042016807,0.032679739,0.114173228,0.040755467,0.0,1.1019820016017483,1.1728380069084767
2019-09-18,1,1,0,289.9455566,0.000597877,-0.015452539,0.008064516,0.012658228,-0.021201413,-0.003820439,0.000597877,1.10264085129492,1.173539219777533
2019-09-19,0,1,1,289.9263,-6.64e-05,0.013452915,0.016,0.0125,0.003610108,0.021093001,-6.64e-05,1.102567635942394,1.1734612967733398
2019-09-20,0,1,1,288.556488,-0.00472469,-0.046460177,-0.007874016,-0.00617284,-0.068345324,-0.01971831,-0.00472469,1.0973583456585332,1.1679170559190877
2019-09-23,0,1,1,288.4887695,-0.00023468,0.0,0.0,0.0,-0.007722008,0.007662835,-0.00023468,1.097100817601974,1.1676429691444046
2019-09-24,0,1,1,286.2250671,-0.007846761,0.020881671,0.007936508,0.01242236,0.023346304,0.022813688,-0.007846761,1.0884921296933467,1.158480753832198
2019-09-25,1,0,-1,287.9179993,0.005914689,-0.034090909,-0.007874016,-0.006134969,-0.053231939,-0.015799257,0.0,1.0884921296933467,1.1653328072036009
2019-09-26,0,0,0,287.3182373,-0.0020831,0.056470588,0.023809524,0.018518519,0.084337349,0.034938621,-0.0,1.0884921296933467,1.162905302432915
2019-09-27,0,1,1,285.7703552,-0.005387344,0.006681514,0.015503876,0.012121212,0.007407407,0.002737226,-0.005387344,1.0826280481493962,1.1566403315292848
2019-09-30,1,1,0,287.0957336,0.004637914,-0.011061947,0.0,0.0,-0.018382353,-0.004549591,0.004637914,1.0876491839307008,1.162004729915849
2019-10-01,0,1,1,283.6808472,-0.011894591,-0.024608501,-0.015267176,-0.011976048,-0.029962547,-0.016453382,-0.011894591,1.0747120417363614,1.1481831589134344
2019-10-02,0,1,1,278.6696777,-0.017664814,-0.002293578,-0.007751938,0.0,0.003861004,-0.000929368,-0.017664814,1.0557274534155283,1.1279007169732962
2019-10-03,1,1,0,280.9527283,0.008192677,-0.032183908,-0.015625,-0.012121212,-0.05,-0.013023256,0.008192677,1.0643766874413942,1.1371412432355268
2019-10-04,1,1,0,284.7546082,0.013532098,-0.011876485,-0.007936508,-0.012269939,-0.024291498,-0.001885014,0.013532098,1.0787799370847666,1.1525291499788317
2019-10-07,0,0,0,283.5259705,-0.004314725,0.021634615,0.0,0.0,0.024896266,0.008498584,-0.0,1.0787799370847666,1.1475563036421894
2019-10-08,0,1,1,279.1243896,-0.015524436,-0.007058824,0.0,0.0,-0.008097166,0.0,-0.015524436,1.0620324869934101,1.1297411392498997
2019-10-09,1,1,0,281.7750244,0.009496249,-0.007109005,0.0,0.00621118,-0.004081633,0.00093633,0.009496249,1.0721178119359887,1.1404694424137602
2019-10-10,1,1,0,283.6808472,0.006763633,-0.00477327,0.008,0.0,-0.016393443,0.001870907,0.006763633,1.0793692233486867,1.1481831591699616
2019-10-11,1,0,-1,286.6217041,0.01036678,-0.021582734,0.0,0.0,-0.025,-0.013071895,0.0,1.0793692233486867,1.1600861213807816
2019-10-14,0,1,1,286.3024597,-0.001113818,0.00245098,-0.007936508,-0.00617284,0.004273504,0.003784295,-0.001113818,1.0781670024790748,1.1587939965772376
2019-10-15,1,1,0,289.1369019,0.009900167,0.034229829,0.016,0.01242236,0.046808511,0.015080113,0.009900167,1.0888410358575071,1.1702662506619497
2019-10-16,0,1,1,288.6726074,-0.001605795,0.0,0.0,0.0,0.004065041,-0.00371402,-0.001605795,1.0870925803663323,1.168387042967968
2019-10-17,1,1,0,289.5238342,0.002948762,-0.037825059,-0.007874016,-0.012269939,-0.060728745,-0.011183597,0.002948762,1.0902981576577984,1.171832338281564
2019-10-18,0,1,1,288.2565613,-0.004377094,-0.004914005,0.0,0.0,-0.004310345,-0.008482564,-0.004377094,1.0855258201337035,1.1667031179846659
2019-10-21,1,0,-1,290.2107239,0.006779248,-0.014814815,-0.007936508,-0.00621118,-0.025974026,-0.005703422,0.0,1.0855258201337035,1.174612487763857
2019-10-22,0,1,1,289.2626953,-0.00326669,-0.022556391,0.0,0.0,-0.026666667,-0.014340344,-0.00326669,1.0819797437923309,1.1707753928962037
2019-10-23,1,1,0,290.1043396,0.002909619,0.005128205,-0.008,-0.00625,0.02283105,-0.011639185,0.002909619,1.085127892612484,1.174181903224107
2019-10-24,1,1,0,290.5783997,0.001634102,-0.017857143,-0.016129032,-0.018867925,-0.03125,-0.009813543,0.001634102,1.0869011022720578,1.1761006362205293
2019-10-25,1,0,-1,291.7683105,0.004094973,-0.005194805,-0.008196721,-0.012820513,0.00921659,-0.006937562,0.0,1.0869011022720578,1.180916736571135
2019-10-28,1,0,-1,293.4128113,0.005636324,-0.007832898,0.0,0.0,0.00456621,-0.013972056,0.0,1.0869011022720578,1.1875727659154725
2019-10-29,0,1,1,293.3258057,-0.00029653,0.002631579,0.0,0.0,0.0,0.005060729,-0.00029653,1.0865788034882011,1.1872206149631956
2019-10-30,1,1,0,294.2254944,0.003067199,0.002624672,-0.008264463,0.0,0.0,0.007049345,0.003067199,1.0899115569076814,1.19086205684619
2019-10-31,0,1,1,293.441864,-0.002663367,-0.013089005,-0.008333333,-0.006493506,-0.013636364,0.002,-0.002663367,1.0870087224340947,1.1876903541424337
