RunDate,PeriodEndDate,FeatureLag,n_estimators,min_samples_split,max_features,max_depth
10/21/2021,10/8/2021,46,999,34,2,4491
10/21/2021,10/8/2021,47,438,49,4,5198
10/21/2021,10/8/2021,48,97,31,3,4739
10/21/2021,10/8/2021,49,231,50,5,3880
10/21/2021,10/8/2021,50,702,4,2,3270
10/21/2021,10/8/2021,51,156,36,1,1518
10/21/2021,10/8/2021,52,524,42,2,3008
10/21/2021,10/8/2021,53,865,48,2,2982
10/21/2021,10/8/2021,54,149,41,1,4297
10/21/2021,10/8/2021,55,181,10,3,255
10/21/2021,10/8/2021,56,400,41,1,5661
10/21/2021,10/8/2021,57,538,39,5,4105
10/21/2021,10/8/2021,58,514,14,5,1281
10/21/2021,10/8/2021,59,923,28,4,4412
10/21/2021,10/8/2021,60,788,45,4,833
10/21/2021,10/8/2021,61,364,39,4,4167
10/21/2021,10/8/2021,62,311,4,1,2007
10/21/2021,10/8/2021,63,519,42,5,5463
10/21/2021,10/8/2021,64,584,27,5,110
10/21/2021,10/8/2021,65,406,48,3,5476
10/21/2021,10/8/2021,66,423,39,3,443
10/21/2021,10/8/2021,67,475,3,3,5346
10/21/2021,10/8/2021,68,265,30,5,2589
10/21/2021,10/8/2021,69,270,27,4,3089
10/21/2021,10/8/2021,70,824,27,2,2101
10/21/2021,10/8/2021,71,732,14,1,4849
10/21/2021,10/8/2021,72,480,50,5,5513
10/21/2021,10/8/2021,73,374,10,1,4847
10/21/2021,10/8/2021,74,603,43,2,5054
10/21/2021,10/8/2021,75,36,47,3,4342
10/21/2021,10/8/2021,76,706,17,2,2985
10/21/2021,10/8/2021,77,975,5,3,1745
10/21/2021,10/8/2021,78,442,25,1,4316
10/21/2021,10/8/2021,79,878,35,1,1734
10/21/2021,10/8/2021,80,517,46,5,2600
10/21/2021,10/8/2021,81,415,36,1,1958
10/21/2021,10/8/2021,82,654,34,4,5223
10/21/2021,10/8/2021,83,197,45,1,2214
10/21/2021,10/8/2021,84,862,21,2,1407
10/21/2021,10/8/2021,85,637,11,5,2106
10/21/2021,10/8/2021,86,739,40,4,2846
10/21/2021,10/8/2021,87,650,15,5,1877
10/21/2021,10/8/2021,88,113,32,4,4909
10/21/2021,10/8/2021,89,477,39,2,62
10/21/2021,10/8/2021,90,436,42,1,4255
10/21/2021,10/11/2021,1,537,29,1,5321
10/21/2021,10/11/2021,2,257,18,2,2844
10/21/2021,10/11/2021,3,891,32,1,5881
10/21/2021,10/11/2021,4,272,17,1,3693
10/21/2021,10/11/2021,5,651,29,5,4136
10/21/2021,10/11/2021,6,917,40,1,1668
10/21/2021,10/11/2021,7,163,7,4,583
10/21/2021,10/11/2021,8,522,44,1,1454
10/21/2021,10/11/2021,9,92,38,1,2041
10/21/2021,10/11/2021,10,156,48,2,2990
10/21/2021,10/11/2021,11,496,46,3,3770
10/21/2021,10/11/2021,12,67,2,2,4234
10/21/2021,10/11/2021,13,711,21,4,3104
10/21/2021,10/11/2021,14,539,47,2,4654
10/21/2021,10/11/2021,15,764,21,1,946
10/21/2021,10/11/2021,16,206,25,2,4249
10/21/2021,10/11/2021,17,172,20,2,2081
