Date,PositiveReturn,PredictedValue,PredictedMinusActual,Close,EquityPriceReturns,BAMLH0A0HYM2,BAMLC0A0CM,BAMLC0A4CBBB,BAMLH0A1HYBB,BAMLH0A3HYC,Equity_Position,Strategy_Cum_Rtn,Equity_Cum_Rtn
2019-10-29,0,1,1,293.3257751,-0.000296842,-0.004889976,-0.008130081,-0.006369427,-0.012396694,0.0,-0.000296842,1.0999745904345974,1.1872204149838517
2019-10-30,1,0,-1,294.2254639,0.0030672,0.0,0.0,0.006410256,0.016736402,0.049473684,0.0,1.0999745904345974,1.1908618574406902
2019-10-31,0,1,1,293.441864,-0.002663263,-0.01965602,-0.008196721,-0.012738854,-0.032921811,-0.008024072,-0.002663263,1.0970450688069528,1.1876902791176571
2019-11-01,1,1,0,296.1603088,0.009263998,0.012531328,-0.008264463,0.0,0.021276596,0.011122346,0.009263998,1.1072080921302903,1.1986930394880226
2019-11-04,1,0,-1,297.3501892,0.00401769,-0.004950495,0.0,-0.006451613,-0.004166667,-0.002,0.0,1.1072080921302903,1.2035090165258433
2019-11-05,0,0,0,297.0213013,-0.001106063,0.0,0.0,0.0,0.0,0.0,-0.0,1.1072080921302903,1.2021778597324977
2019-11-06,1,1,0,297.0889893,0.000227889,-0.009950249,-0.008333333,-0.006493506,-0.016736402,-0.009018036,0.000227889,1.1074604126751977,1.2024518228427743
2019-11-07,1,0,-1,298.1337585,0.003516688,0.005025126,0.0,0.0,0.004255319,0.007077856,0.0,1.1074604126751977,1.2066804707387435
2019-11-08,1,0,-1,298.868988,0.002466106,0.0075,0.008403361,0.006535948,0.008474576,0.004016064,0.0,1.1074604126751977,1.2096562726877151
2019-11-11,0,1,1,298.2982483,-0.001909665,-0.004962779,0.0,0.0,-0.004201681,-0.002,-0.001909665,1.1053455342862264,1.207346234441733
2019-11-12,1,1,0,298.9270325,0.002107904,-0.002493766,-0.008333333,-0.012987013,-0.008438819,0.002004008,0.002107904,1.1076754965593305,1.2098912043986976
2019-11-13,1,1,0,299.0237732,0.000323627,0.005,-0.008403361,0.0,0.008510638,0.002,0.000323627,1.1080339702572555,1.2102827578595035
2019-11-14,1,0,-1,299.4591064,0.001455848,-0.004975124,0.0,0.0,0.0,-0.001996008,0.0,1.1080339702572555,1.2120447455919676
2019-11-15,1,1,0,301.6260986,0.007236354,-0.01,0.0,-0.006578947,-0.012658228,-0.007,0.007236354,1.1160520963100624,1.220815530434911
2019-11-18,1,0,-1,301.8485718,0.000737579,0.012626263,0.0,0.006622517,0.017094017,0.010070493,0.0,1.1160520963100624,1.2217159783330336
2019-11-19,0,1,1,301.7615356,-0.000288344,0.024937656,0.008474576,0.006578947,0.029411765,0.012961117,-0.000288344,1.1157302893844039,1.221363703860977
2019-11-20,0,1,1,300.6393433,-0.003718805,-0.00973236,-0.008403361,-0.006535948,-0.016326531,-0.00492126,-0.003718805,1.1115811060055898,1.2168216904122404
2019-11-21,0,1,1,300.1556702,-0.001608815,-0.002457002,-0.008474576,-0.006578947,0.0,-0.00098912,-0.001608815,1.1097927776485315,1.2148640494243799
2019-11-22,1,1,0,300.8231201,0.002223679,-0.017241379,-0.008547009,-0.006622517,-0.024896266,-0.006930693,0.002223679,1.1122606005425402,1.21756551709894
2019-11-25,1,1,0,303.1545715,0.00775024,-0.002506266,0.0,-0.006666667,-0.008510638,0.001994018,0.00775024,1.120880887139289,1.2270019420721807
2019-11-26,1,1,0,303.8414307,0.002265706,-0.012562814,-0.00862069,-0.006711409,-0.017167382,-0.004975124,0.002265706,1.1234204736905657,1.2297819677343453
2019-11-27,1,1,0,305.1958313,0.00445759,-0.010178117,-0.008695652,-0.013513514,-0.013100437,-0.004,0.00445759,1.128428221559884,1.2352638315358981
2019-11-29,0,1,1,304.0639648,-0.003708656,0.010282776,-0.00877193,0.0,0.013274336,0.00502008,-0.003708656,1.1242432694654265,1.2306826629154894
2019-12-02,0,0,0,301.4810181,-0.008494748,-0.010075567,0.0,0.0,0.00862069,-0.040594059,-0.0,1.1242432694654265,1.2202283238260534
2019-12-03,0,1,1,299.4591064,-0.006706597,0.043256997,0.026315789,0.027210884,0.05982906,0.02373581,-0.006706597,1.1167034229271595,1.2120447442101665
2019-12-04,1,1,0,301.3068542,0.006170284,0.02195122,0.017094017,0.013245033,0.024193548,0.014112903,0.006170284,1.1235938001903922,1.2195234045026506
2019-12-05,1,0,-1,301.8485718,0.001797893,0.081145585,0.042016807,0.032679739,0.114173228,0.040755467,0.0,1.1235938001903922,1.2217159770949422
2019-12-06,1,0,-1,304.6056824,0.009134085,-0.015452539,0.008064516,0.012658228,-0.021201413,-0.003820439,0.0,1.1235938001903922,1.2328752346755854
2019-12-09,0,1,1,303.6480103,-0.003143973,0.013452915,0.016,0.0125,0.003610108,0.021093001,-0.003143973,1.1200612516196262,1.2289991082253966
2019-12-10,0,0,0,303.3093872,-0.001115183,-0.046460177,-0.007874016,-0.00617284,-0.068345324,-0.01971831,-0.0,1.1200612516196262,1.2276285493128885
2019-12-11,1,1,0,304.1703796,0.002838661,0.0,0.0,0.0,-0.007722008,0.007662835,0.002838661,1.12324072581221,1.2311133705983095
2019-12-12,1,0,-1,306.7920227,0.008618995,0.020881671,0.007936508,0.01242236,0.023346304,0.022813688,0.0,1.12324072581221,1.2417243305839294
2019-12-13,1,1,0,306.9758606,0.000599226,-0.034090909,-0.007874016,-0.006134969,-0.053231939,-0.015799257,0.000599226,1.1239138008593754,1.242468404087648
2019-12-16,1,1,0,309.0847473,0.006869878,0.056470588,0.023809524,0.018518519,0.084337349,0.034938621,0.006869878,1.1316349515537958,1.2510040104425848
2019-12-17,1,0,-1,309.1524658,0.000219094,0.006681514,0.015503876,0.012121212,0.007407407,0.002737226,0.0,1.1316349515537958,1.2512780979152487
2019-12-18,1,0,-1,309.171814,6.26e-05,-0.011061947,0.0,0.0,-0.018382353,-0.004549591,0.0,1.1316349515537958,1.251356427924178
2019-12-19,1,1,0,310.4391174,0.004099027,-0.024608501,-0.015267176,-0.011976048,-0.029962547,-0.016453382,0.004099027,1.1362735537743587,1.2564857717088629
2019-12-20,1,0,-1,311.8001404,0.004384186,-0.002293578,-0.007751938,0.0,0.003861004,-0.000929368,0.0,1.1362735537743587,1.2619944390383881
2019-12-23,1,1,0,312.2764893,0.001527738,-0.032183908,-0.015625,-0.012121212,-0.05,-0.013023256,0.001527738,1.1380094820608548,1.2639224358986958
2019-12-24,1,1,0,312.2862549,3.13e-05,-0.011876485,-0.007936508,-0.012269939,-0.024291498,-0.001885014,3.13e-05,1.1380451017576434,1.2639619966709394
2019-12-26,1,0,-1,313.9486389,0.00532327,0.021634615,0.0,0.0,0.024896266,0.008498584,0.0,1.1380451017576434,1.270690407648958
2019-12-27,0,1,1,313.8707886,-0.000247972,-0.007058824,0.0,0.0,-0.008097166,0.0,-0.000247972,1.1377628984376702,1.2703753120071923
2019-12-30,0,0,0,312.1403503,-0.005513218,-0.007109005,0.0,0.00621118,-0.004081633,0.00093633,-0.0,1.1377628984376702,1.2633714559702787
