,realtime_start,realtime_end,date,value
301,2021-10-19,2021-10-19,1987-02-27,0.99
302,2021-10-19,2021-10-19,1987-03-02,0.96
303,2021-10-19,2021-10-19,1987-03-03,0.90
304,2021-10-19,2021-10-19,1987-03-04,0.93
305,2021-10-19,2021-10-19,1987-03-05,0.86
306,2021-10-19,2021-10-19,1987-03-06,0.74
307,2021-10-19,2021-10-19,1987-03-09,0.86
308,2021-10-19,2021-10-19,1987-03-10,0.82
309,2021-10-19,2021-10-19,1987-03-11,0.87
310,2021-10-19,2021-10-19,1987-03-12,0.83
311,2021-10-19,2021-10-19,1987-03-13,0.88
312,2021-10-19,2021-10-19,1987-03-16,0.85
313,2021-10-19,2021-10-19,1987-03-17,0.93
314,2021-10-19,2021-10-19,1987-03-18,0.98
315,2021-10-19,2021-10-19,1987-03-19,1.00
316,2021-10-19,2021-10-19,1987-03-20,0.92
317,2021-10-19,2021-10-19,1987-03-23,0.82
318,2021-10-19,2021-10-19,1987-03-24,0.95
319,2021-10-19,2021-10-19,1987-03-25,0.93
320,2021-10-19,2021-10-19,1987-03-26,0.93
321,2021-10-19,2021-10-19,1987-03-27,0.87
322,2021-10-19,2021-10-19,1987-03-30,0.96
323,2021-10-19,2021-10-19,1987-03-31,1.08
324,2021-10-19,2021-10-19,1987-04-01,1.15
325,2021-10-19,2021-10-19,1987-04-02,1.12
326,2021-10-19,2021-10-19,1987-04-03,1.12
327,2021-10-19,2021-10-19,1987-04-06,1.09
328,2021-10-19,2021-10-19,1987-04-07,1.05
329,2021-10-19,2021-10-19,1987-04-08,1.06
330,2021-10-19,2021-10-19,1987-04-09,0.81
331,2021-10-19,2021-10-19,1987-04-10,0.84
332,2021-10-19,2021-10-19,1987-04-13,0.86
333,2021-10-19,2021-10-19,1987-04-14,1.27
334,2021-10-19,2021-10-19,1987-04-15,1.37
335,2021-10-19,2021-10-19,1987-04-16,1.32
336,2021-10-19,2021-10-19,1987-04-17,.
337,2021-10-19,2021-10-19,1987-04-20,.
338,2021-10-19,2021-10-19,1987-04-21,1.50
339,2021-10-19,2021-10-19,1987-04-22,1.52
340,2021-10-19,2021-10-19,1987-04-23,1.51
341,2021-10-19,2021-10-19,1987-04-24,1.30
342,2021-10-19,2021-10-19,1987-04-27,1.44
343,2021-10-19,2021-10-19,1987-04-28,1.3
344,2021-10-19,2021-10-19,1987-04-29,1.35
345,2021-10-19,2021-10-19,1987-04-30,1.59
346,2021-10-19,2021-10-19,1987-05-01,1.59
347,2021-10-19,2021-10-19,1987-05-04,.
348,2021-10-19,2021-10-19,1987-05-05,1.50
349,2021-10-19,2021-10-19,1987-05-06,1.81
350,2021-10-19,2021-10-19,1987-05-07,1.72
351,2021-10-19,2021-10-19,1987-05-08,1.72
352,2021-10-19,2021-10-19,1987-05-11,1.54
353,2021-10-19,2021-10-19,1987-05-12,1.65
354,2021-10-19,2021-10-19,1987-05-13,1.66
355,2021-10-19,2021-10-19,1987-05-14,1.52
356,2021-10-19,2021-10-19,1987-05-15,1.30
357,2021-10-19,2021-10-19,1987-05-18,1.69
358,2021-10-19,2021-10-19,1987-05-19,1.78
359,2021-10-19,2021-10-19,1987-05-20,2.00
360,2021-10-19,2021-10-19,1987-05-21,2.09
361,2021-10-19,2021-10-19,1987-05-22,2.08
362,2021-10-19,2021-10-19,1987-05-25,.
363,2021-10-19,2021-10-19,1987-05-26,1.76
364,2021-10-19,2021-10-19,1987-05-27,1.55
365,2021-10-19,2021-10-19,1987-05-28,1.74
366,2021-10-19,2021-10-19,1987-05-29,1.70
367,2021-10-19,2021-10-19,1987-06-01,1.55
368,2021-10-19,2021-10-19,1987-06-02,1.55
369,2021-10-19,2021-10-19,1987-06-03,1.68
370,2021-10-19,2021-10-19,1987-06-04,1.65
371,2021-10-19,2021-10-19,1987-06-05,1.63
372,2021-10-19,2021-10-19,1987-06-08,1.65
373,2021-10-19,2021-10-19,1987-06-09,1.80
374,2021-10-19,2021-10-19,1987-06-10,1.83
375,2021-10-19,2021-10-19,1987-06-11,1.71
376,2021-10-19,2021-10-19,1987-06-12,1.70
377,2021-10-19,2021-10-19,1987-06-15,1.47
378,2021-10-19,2021-10-19,1987-06-16,1.56
379,2021-10-19,2021-10-19,1987-06-17,1.54
380,2021-10-19,2021-10-19,1987-06-18,1.54
381,2021-10-19,2021-10-19,1987-06-19,1.59
382,2021-10-19,2021-10-19,1987-06-22,1.53
383,2021-10-19,2021-10-19,1987-06-23,1.41
384,2021-10-19,2021-10-19,1987-06-24,1.36
385,2021-10-19,2021-10-19,1987-06-25,1.35
386,2021-10-19,2021-10-19,1987-06-26,1.41
387,2021-10-19,2021-10-19,1987-06-29,1.58
388,2021-10-19,2021-10-19,1987-06-30,1.46
389,2021-10-19,2021-10-19,1987-07-01,1.55
390,2021-10-19,2021-10-19,1987-07-02,1.40
391,2021-10-19,2021-10-19,1987-07-03,.
392,2021-10-19,2021-10-19,1987-07-06,1.33
393,2021-10-19,2021-10-19,1987-07-07,1.46
394,2021-10-19,2021-10-19,1987-07-08,1.43
395,2021-10-19,2021-10-19,1987-07-09,1.39
396,2021-10-19,2021-10-19,1987-07-10,1.41
397,2021-10-19,2021-10-19,1987-07-13,1.33
398,2021-10-19,2021-10-19,1987-07-14,1.42
399,2021-10-19,2021-10-19,1987-07-15,1.33
400,2021-10-19,2021-10-19,1987-07-16,1.36
401,2021-10-19,2021-10-19,1987-07-17,1.38
402,2021-10-19,2021-10-19,1987-07-20,1.33
403,2021-10-19,2021-10-19,1987-07-21,1.18
404,2021-10-19,2021-10-19,1987-07-22,1.28
405,2021-10-19,2021-10-19,1987-07-23,1.33
406,2021-10-19,2021-10-19,1987-07-24,1.25
407,2021-10-19,2021-10-19,1987-07-27,1.25
408,2021-10-19,2021-10-19,1987-07-28,1.20
409,2021-10-19,2021-10-19,1987-07-29,1.14
410,2021-10-19,2021-10-19,1987-07-30,0.93
411,2021-10-19,2021-10-19,1987-07-31,0.93
412,2021-10-19,2021-10-19,1987-08-03,1.01
413,2021-10-19,2021-10-19,1987-08-04,1.34
414,2021-10-19,2021-10-19,1987-08-05,1.21
415,2021-10-19,2021-10-19,1987-08-06,1.32
416,2021-10-19,2021-10-19,1987-08-07,1.21
417,2021-10-19,2021-10-19,1987-08-10,1.15
418,2021-10-19,2021-10-19,1987-08-11,1.06
419,2021-10-19,2021-10-19,1987-08-12,1.05
420,2021-10-19,2021-10-19,1987-08-13,0.98
421,2021-10-19,2021-10-19,1987-08-14,0.98
422,2021-10-19,2021-10-19,1987-08-17,0.96
423,2021-10-19,2021-10-19,1987-08-18,0.98
424,2021-10-19,2021-10-19,1987-08-19,1.02
425,2021-10-19,2021-10-19,1987-08-20,0.95
426,2021-10-19,2021-10-19,1987-08-21,0.96
427,2021-10-19,2021-10-19,1987-08-24,0.89
428,2021-10-19,2021-10-19,1987-08-25,0.82
429,2021-10-19,2021-10-19,1987-08-26,0.75
430,2021-10-19,2021-10-19,1987-08-27,0.77
431,2021-10-19,2021-10-19,1987-08-28,0.88
432,2021-10-19,2021-10-19,1987-08-31,.
433,2021-10-19,2021-10-19,1987-09-01,1.19
434,2021-10-19,2021-10-19,1987-09-02,1.22
435,2021-10-19,2021-10-19,1987-09-03,1.12
436,2021-10-19,2021-10-19,1987-09-04,0.93
437,2021-10-19,2021-10-19,1987-09-07,.
438,2021-10-19,2021-10-19,1987-09-08,1.18
439,2021-10-19,2021-10-19,1987-09-09,1.26
440,2021-10-19,2021-10-19,1987-09-10,1.23
441,2021-10-19,2021-10-19,1987-09-11,1.21
442,2021-10-19,2021-10-19,1987-09-14,1.16
443,2021-10-19,2021-10-19,1987-09-15,1.22
444,2021-10-19,2021-10-19,1987-09-16,1.32
445,2021-10-19,2021-10-19,1987-09-17,1.31
446,2021-10-19,2021-10-19,1987-09-18,1.27
447,2021-10-19,2021-10-19,1987-09-21,1.12
448,2021-10-19,2021-10-19,1987-09-22,1.20
449,2021-10-19,2021-10-19,1987-09-23,1.16
450,2021-10-19,2021-10-19,1987-09-24,1.28
451,2021-10-19,2021-10-19,1987-09-25,1.19
452,2021-10-19,2021-10-19,1987-09-28,1.28
453,2021-10-19,2021-10-19,1987-09-29,1.37
454,2021-10-19,2021-10-19,1987-09-30,1.76
455,2021-10-19,2021-10-19,1987-10-01,1.62
456,2021-10-19,2021-10-19,1987-10-02,1.65
457,2021-10-19,2021-10-19,1987-10-05,1.63
458,2021-10-19,2021-10-19,1987-10-06,1.83
459,2021-10-19,2021-10-19,1987-10-07,2.00
460,2021-10-19,2021-10-19,1987-10-08,1.87
461,2021-10-19,2021-10-19,1987-10-09,2.06
462,2021-10-19,2021-10-19,1987-10-12,.
463,2021-10-19,2021-10-19,1987-10-13,2.13
464,2021-10-19,2021-10-19,1987-10-14,1.68
465,2021-10-19,2021-10-19,1987-10-15,2.12
466,2021-10-19,2021-10-19,1987-10-16,2.26
467,2021-10-19,2021-10-19,1987-10-19,2.92
468,2021-10-19,2021-10-19,1987-10-20,3.01
469,2021-10-19,2021-10-19,1987-10-21,2.59
470,2021-10-19,2021-10-19,1987-10-22,2.76
471,2021-10-19,2021-10-19,1987-10-23,2.40
472,2021-10-19,2021-10-19,1987-10-26,2.47
473,2021-10-19,2021-10-19,1987-10-27,2.64
474,2021-10-19,2021-10-19,1987-10-28,2.78
475,2021-10-19,2021-10-19,1987-10-29,2.72
476,2021-10-19,2021-10-19,1987-10-30,2.36
477,2021-10-19,2021-10-19,1987-11-02,2.13
478,2021-10-19,2021-10-19,1987-11-03,2.12
479,2021-10-19,2021-10-19,1987-11-04,2.02
480,2021-10-19,2021-10-19,1987-11-05,1.73
481,2021-10-19,2021-10-19,1987-11-06,1.46
482,2021-10-19,2021-10-19,1987-11-09,1.67
483,2021-10-19,2021-10-19,1987-11-10,1.77
