,RunDate,PeriodEndDate,FeatureLag,n_estimators,max_depth,max_features,random_state,verbose,Annual Return,Annual Volatility,Sharpe Ratio,Calmar Ratio,Max Drawdown,Sortino Ratio,Alpha,Beta
29,2021-10-19,2021-10-18,30,500,5000,auto,0,1,0.18863317209123376,0.1687005352462343,1.1090334316309232,1.16652234332718,-0.16170557998332905,1.6121550792064043,0.05802269620854639,0.5563457195373199
30,2021-10-19,2021-10-18,31,500,5000,auto,0,1,0.09081010587503968,0.1655495149904717,0.6085340384967945,0.5941590264989985,-0.15283804810662543,0.8306104399481854,-0.024708834595842943,0.5353754747251367
31,2021-10-19,2021-10-18,32,500,5000,auto,0,1,0.18952938975741396,0.18914488344788122,1.0130910390473773,0.8339092996182217,-0.22727818222459426,1.4369379176071353,0.02766045445307541,0.6995898458413187
32,2021-10-19,2021-10-18,33,500,5000,auto,0,1,0.20116101648793117,0.17650675844902933,1.1281798579493416,0.8576773619502625,-0.23454159502416327,1.5357273538794265,0.05761430453137106,0.6092316855573385
33,2021-10-19,2021-10-18,34,500,5000,auto,0,1,0.055048512223941914,0.1842383135350359,0.3840722269408459,0.2360590822643193,-0.2331980269342197,0.5075212886155315,-0.08158364080251412,0.6634734168790423
34,2021-10-19,2021-10-18,35,500,5000,auto,0,1,0.051837034605854315,0.16075822586404734,0.39596811296110807,0.19239848031297882,-0.2694253848654619,0.5020404126824944,-0.05348734009559475,0.5049779432455842
35,2021-10-19,2021-10-18,36,500,5000,auto,0,1,0.21075460917828237,0.16037018931800473,1.2740097581244874,1.5441147387714642,-0.13648895634916608,1.7989126241613842,0.08998760350805668,0.5029007349932947
36,2021-10-19,2021-10-18,37,500,5000,auto,0,1,0.07610115558530062,0.16359985460732457,0.5310645845668149,0.33121192135896527,-0.22976575019720588,0.7081392332986952,-0.03530420265263001,0.5228659523670388
37,2021-10-19,2021-10-18,38,500,5000,auto,0,1,0.1213494191081872,0.16705809378889952,0.7712502218847135,0.37920642437658086,-0.32000886933201844,0.9619986645769157,0.0007791664149325861,0.5451848350451893
38,2021-10-19,2021-10-18,39,500,5000,auto,0,1,0.14238575109538965,0.17769200657347503,0.8382943626504269,0.9794956781573274,-0.14536639034819665,1.1946363035295908,0.0040304304941205515,0.6170069331922268
