,realtime_start,realtime_end,date,value
290,2021-10-19,2021-10-19,1998-02-04,7.11
291,2021-10-19,2021-10-19,1998-02-05,7.09
292,2021-10-19,2021-10-19,1998-02-06,7.06
293,2021-10-19,2021-10-19,1998-02-09,7.04
294,2021-10-19,2021-10-19,1998-02-10,7.06
295,2021-10-19,2021-10-19,1998-02-11,7.09
296,2021-10-19,2021-10-19,1998-02-12,7.08
297,2021-10-19,2021-10-19,1998-02-13,7.06
298,2021-10-19,2021-10-19,1998-02-16,7.02
299,2021-10-19,2021-10-19,1998-02-17,7.03
300,2021-10-19,2021-10-19,1998-02-18,6.98
301,2021-10-19,2021-10-19,1998-02-19,6.98
302,2021-10-19,2021-10-19,1998-02-20,6.95
303,2021-10-19,2021-10-19,1998-02-23,6.88
304,2021-10-19,2021-10-19,1998-02-24,6.82
305,2021-10-19,2021-10-19,1998-02-25,6.88
306,2021-10-19,2021-10-19,1998-02-26,6.84
307,2021-10-19,2021-10-19,1998-02-27,6.85
308,2021-10-19,2021-10-19,1998-02-28,6.78
309,2021-10-19,2021-10-19,1998-03-02,6.69
310,2021-10-19,2021-10-19,1998-03-03,6.68
311,2021-10-19,2021-10-19,1998-03-04,6.73
312,2021-10-19,2021-10-19,1998-03-05,6.77
313,2021-10-19,2021-10-19,1998-03-06,6.91
314,2021-10-19,2021-10-19,1998-03-09,6.97
315,2021-10-19,2021-10-19,1998-03-10,6.99
316,2021-10-19,2021-10-19,1998-03-11,6.95
317,2021-10-19,2021-10-19,1998-03-12,6.94
318,2021-10-19,2021-10-19,1998-03-13,6.91
319,2021-10-19,2021-10-19,1998-03-16,6.86
320,2021-10-19,2021-10-19,1998-03-17,6.81
321,2021-10-19,2021-10-19,1998-03-18,6.71
322,2021-10-19,2021-10-19,1998-03-19,6.67
323,2021-10-19,2021-10-19,1998-03-20,6.65
324,2021-10-19,2021-10-19,1998-03-23,6.61
325,2021-10-19,2021-10-19,1998-03-24,6.58
326,2021-10-19,2021-10-19,1998-03-25,6.47
327,2021-10-19,2021-10-19,1998-03-26,6.41
328,2021-10-19,2021-10-19,1998-03-27,6.36
329,2021-10-19,2021-10-19,1998-03-30,6.33
330,2021-10-19,2021-10-19,1998-03-31,6.87
331,2021-10-19,2021-10-19,1998-04-01,6.89
332,2021-10-19,2021-10-19,1998-04-02,6.94
333,2021-10-19,2021-10-19,1998-04-03,7.06
334,2021-10-19,2021-10-19,1998-04-06,6.98
335,2021-10-19,2021-10-19,1998-04-07,6.97
336,2021-10-19,2021-10-19,1998-04-08,6.92
337,2021-10-19,2021-10-19,1998-04-09,6.87
338,2021-10-19,2021-10-19,1998-04-10,.
339,2021-10-19,2021-10-19,1998-04-13,6.84
340,2021-10-19,2021-10-19,1998-04-14,6.86
341,2021-10-19,2021-10-19,1998-04-15,6.78
342,2021-10-19,2021-10-19,1998-04-16,6.81
343,2021-10-19,2021-10-19,1998-04-17,6.81
344,2021-10-19,2021-10-19,1998-04-20,6.78
345,2021-10-19,2021-10-19,1998-04-21,6.77
346,2021-10-19,2021-10-19,1998-04-22,6.76
347,2021-10-19,2021-10-19,1998-04-23,6.75
348,2021-10-19,2021-10-19,1998-04-24,6.77
349,2021-10-19,2021-10-19,1998-04-27,6.79
350,2021-10-19,2021-10-19,1998-04-28,6.78
351,2021-10-19,2021-10-19,1998-04-29,6.81
352,2021-10-19,2021-10-19,1998-04-30,7.12
353,2021-10-19,2021-10-19,1998-05-01,7.11
354,2021-10-19,2021-10-19,1998-05-04,7.09
355,2021-10-19,2021-10-19,1998-05-05,7.07
356,2021-10-19,2021-10-19,1998-05-06,7.14
357,2021-10-19,2021-10-19,1998-05-07,7.18
358,2021-10-19,2021-10-19,1998-05-08,7.13
359,2021-10-19,2021-10-19,1998-05-11,7.08
360,2021-10-19,2021-10-19,1998-05-12,7.23
361,2021-10-19,2021-10-19,1998-05-13,7.25
362,2021-10-19,2021-10-19,1998-05-14,7.27
363,2021-10-19,2021-10-19,1998-05-15,7.38
364,2021-10-19,2021-10-19,1998-05-18,7.42
365,2021-10-19,2021-10-19,1998-05-19,7.44
366,2021-10-19,2021-10-19,1998-05-20,7.47
367,2021-10-19,2021-10-19,1998-05-21,7.37
368,2021-10-19,2021-10-19,1998-05-22,7.37
369,2021-10-19,2021-10-19,1998-05-25,7.38
370,2021-10-19,2021-10-19,1998-05-26,7.42
371,2021-10-19,2021-10-19,1998-05-27,7.48
372,2021-10-19,2021-10-19,1998-05-28,7.47
373,2021-10-19,2021-10-19,1998-05-29,7.49
374,2021-10-19,2021-10-19,1998-05-31,7.68
375,2021-10-19,2021-10-19,1998-06-01,7.67
376,2021-10-19,2021-10-19,1998-06-02,7.61
377,2021-10-19,2021-10-19,1998-06-03,7.56
378,2021-10-19,2021-10-19,1998-06-04,7.58
379,2021-10-19,2021-10-19,1998-06-05,7.58
380,2021-10-19,2021-10-19,1998-06-08,7.57
381,2021-10-19,2021-10-19,1998-06-09,7.56
382,2021-10-19,2021-10-19,1998-06-10,7.63
383,2021-10-19,2021-10-19,1998-06-11,7.72
384,2021-10-19,2021-10-19,1998-06-12,7.77
385,2021-10-19,2021-10-19,1998-06-15,7.83
386,2021-10-19,2021-10-19,1998-06-16,7.85
387,2021-10-19,2021-10-19,1998-06-17,7.76
388,2021-10-19,2021-10-19,1998-06-18,7.80
389,2021-10-19,2021-10-19,1998-06-19,7.83
390,2021-10-19,2021-10-19,1998-06-22,7.86
391,2021-10-19,2021-10-19,1998-06-23,7.87
392,2021-10-19,2021-10-19,1998-06-24,7.86
393,2021-10-19,2021-10-19,1998-06-25,7.85
394,2021-10-19,2021-10-19,1998-06-26,7.88
395,2021-10-19,2021-10-19,1998-06-29,7.88
396,2021-10-19,2021-10-19,1998-06-30,8.02
397,2021-10-19,2021-10-19,1998-07-01,8.02
398,2021-10-19,2021-10-19,1998-07-02,8.02
399,2021-10-19,2021-10-19,1998-07-03,8.02
400,2021-10-19,2021-10-19,1998-07-06,8.03
401,2021-10-19,2021-10-19,1998-07-07,7.98
402,2021-10-19,2021-10-19,1998-07-08,7.93
403,2021-10-19,2021-10-19,1998-07-09,7.95
404,2021-10-19,2021-10-19,1998-07-10,7.96
405,2021-10-19,2021-10-19,1998-07-13,7.91
406,2021-10-19,2021-10-19,1998-07-14,7.94
407,2021-10-19,2021-10-19,1998-07-15,7.89
408,2021-10-19,2021-10-19,1998-07-16,7.89
409,2021-10-19,2021-10-19,1998-07-17,7.89
410,2021-10-19,2021-10-19,1998-07-20,7.90
411,2021-10-19,2021-10-19,1998-07-21,7.89
412,2021-10-19,2021-10-19,1998-07-22,7.86
413,2021-10-19,2021-10-19,1998-07-23,7.92
414,2021-10-19,2021-10-19,1998-07-24,7.92
415,2021-10-19,2021-10-19,1998-07-27,7.91
416,2021-10-19,2021-10-19,1998-07-28,7.91
417,2021-10-19,2021-10-19,1998-07-29,7.91
418,2021-10-19,2021-10-19,1998-07-30,7.93
419,2021-10-19,2021-10-19,1998-07-31,7.57
420,2021-10-19,2021-10-19,1998-08-03,7.65
421,2021-10-19,2021-10-19,1998-08-04,7.72
422,2021-10-19,2021-10-19,1998-08-05,7.77
423,2021-10-19,2021-10-19,1998-08-06,7.75
424,2021-10-19,2021-10-19,1998-08-07,7.91
425,2021-10-19,2021-10-19,1998-08-10,8.07
426,2021-10-19,2021-10-19,1998-08-11,8.36
427,2021-10-19,2021-10-19,1998-08-12,8.45
428,2021-10-19,2021-10-19,1998-08-13,8.51
429,2021-10-19,2021-10-19,1998-08-14,8.49
430,2021-10-19,2021-10-19,1998-08-17,8.53
431,2021-10-19,2021-10-19,1998-08-18,8.53
432,2021-10-19,2021-10-19,1998-08-19,8.55
433,2021-10-19,2021-10-19,1998-08-20,8.64
434,2021-10-19,2021-10-19,1998-08-21,8.96
